Frequency,Nominal,Min,Max
30000,-84.93721781748042,-84.99257334577194,-84.88177105158076
30698.789768422623,-84.81992479555277,-84.8765491634271,-84.76320755298237
31413.856441526983,-84.69994472824528,-84.75786603695786,-84.64192890376755
32145.579157128188,-84.57721821179697,-84.63646511516475,-84.51787514987258
32894.345884295544,-84.45168468210734,-84.51228639232193,-84.39098517129094
33660.55362905889,-84.32328240314465,-84.38526869624448,-84.26119667083762
34444.608644906475,-84.19194845612418,-84.25534967708698,-84.12844616372267
35246.92664818588,-84.05761872954083,-84.12246579695496,-83.99266896802169
36067.93303852238,-83.92022791014688,-83.98655232041752,-83.85379919613652
36908.06312437144,-83.77970947497174,-83.84754330601447,-83.71176974734632
37767.762353825005,-83.63599568448674,-83.70537159885824,-83.56651230155519
38647.486550794005,-83.48901757702531,-83.55996882443738,-83.41795731434983
39547.7021566922,-83.33870496457564,-83.41126538373548,-83.26603401348848
40468.88647774959,-83.18498643007092,-83.2591904497865,-83.1106703969491
41411.527938086525,-83.02778932630947,-83.10367196579567,-82.95179323267371
42376.12633868261,-82.86703977664605,-82.94463664496256,-82.78932806015379
43363.19312237781,-82.70266267760363,-82.7820099721521,-82.62319919401041
44373.251645046206,-82.53458170356413,-82.61571620756696,-82.4533297297318
45406.83745308623,-82.36271931370588,-82.4456783925855,-82.27964155174091
46464.49856737442,-82.18699676136505,-82.27181835793681,-82.10205534397451
47546.795773833386,-82.00733410600832,-82.09405673439639,-81.92049060316644
48654.30292076788,-81.82365022801442,-81.91231296619415,-81.7348656550372
49787.6072231268,-81.63586284647258,-81.72650532733846,-81.5450976736031
50947.309573852304,-81.4438885402167,-81.53655094106918,-81.3511027038292
52134.02486248124,-81.2476427723253,-81.3423658026651,-81.15279568786143
53348.38230116766,-81.0470399183283,-81.14386480584066,-80.95009049508378
54591.025758299475,-80.84199329837323,-80.94096177297983,-80.7428999562597
55862.61409988599,-80.63241521361505,-80.73356948946515,-80.53113590202602
57163.821538897384,-80.41821698710484,-80.52159974237212,-80.31470920602123
58495.337992741326,-80.1993090094645,-80.3049633638104,-80.09352983294018
59857.869449066355,-79.97560078964587,-80.08357027920495,-79.86750689181878
61252.13834008585,-79.74700101108341,-79.85732956082069,-79.63654869486345
62678.88392562115,-79.5134175935609,-79.62614948684636,-79.40056282215019
64138.862685066924,-79.27475776112232,-79.3899376063627,-79.15945619252865
65632.84871848654,-79.03092811636716,-79.14860081053065,-78.91313514107546
67161.63415705014,-78.78183472147919,-78.90204541034444,-78.66150550344975
68726.02958303315,-78.52738318634552,-78.65017722130276,-78.40447270751136
70326.86445959761,-78.26747876412995,-78.39290165535883,-78.14194187256822
71964.98757058465,-78.00202645466973,-78.13012382051602,-77.87381791662432
73641.26747055084,-77.730931116069,-77.86174862844071,-77.60000567200258
