Frequency,Nominal,Min,Max
30000,-24.65312350384327,-26.173379345331178,-23.169312849990757
30698.789768422623,-25.228402894468037,-26.784283049024086,-23.709849657392596
31413.856441526983,-25.817156686210335,-27.409506344804637,-24.263038599351784
32145.579157128188,-26.419704115531676,-28.04938927689299,-24.829178814118436
32894.345884295544,-27.03637224619056,-28.704280284084078,-25.40857672965753
33660.55362905889,-27.6674961803854,-29.374536430317633,-26.001546257075596
34444.608644906475,-28.313419276981165,-30.060523643267015,-26.608408990318008
35246.92664818588,-28.97449337715228,-30.762616961341134,-27.229494412418667
36067.93303852238,-29.651079037796425,-31.481200789519942,-27.865140108601167
36908.06312437144,-30.34354577309641,-32.216669164472165,-28.515691986549594
37767.762353825005,-31.052272304632833,-32.96942602943544,-29.181504504187103
38647.486550794005,-31.777646820476928,-33.7398855193716,-29.862940905322255
39547.7021566922,-32.52006724372189,-34.52847225694646,-30.560373463547176
40468.88647774959,-33.279941510943395,-35.33562165992253,-31.274183734796107
41411.527938086525,-34.05768786111333,-36.16178026059572,-32.00476281900161
42376.12633868261,-34.85373513552836,-37.00740603795336,-32.752511631314306
43363.19312237781,-35.668523089355226,-37.87296876328125,-33.51784118338512
44373.251645046206,-36.502502715438155,-38.7589503600022,-34.30117287524355
45406.83745308623,-37.35613658106175,-39.66584527858836,-35.102938798343594
46464.49856737442,-38.229899178413774,-40.594160887455104,-35.92358205038942
47546.795773833386,-39.12427728954956,-41.54441788081492,-36.76355706259869
48654.30292076788,-40.03977036672019,-42.517150704548015,-37.62332994010904
49787.6072231268,-40.97689092899488,-43.51290800123163,-38.503378816286386
50947.309573852304,-41.936164976180024,-44.53225307556323,-39.40419422175186
52134.02486248124,-42.918132421118294,-45.5757643815152,-40.326279469005975
53348.38230116766,-43.92334754153928,-46.64403603267171,-41.27015105359828
54591.025758299475,-44.95237945272804,-47.7376783373207,-42.23633907286529
55862.61409988599,-46.00581260238514,-48.857318360012414,-43.22538766334123
57163.821538897384,-47.08424728916617,-50.00360051144345,-44.23785545803639
58495.337992741326,-48.1883002065178,-51.17718716869295,-45.274316064876324
59857.869449066355,-49.318605013566454,-52.378759328019655,-46.33535856770293
61252.13834008585,-50.475812934971614,-53.60901729263098,-47.42158805135757
62678.88392562115,-51.66059339182659,-54.86868139806079,-48.533626152496744
64138.862685066924,-52.87363466587792,-56.158492778040504,-49.67211163793548
65632.84871848654,-54.11564459954525,-57.479214174025685,-50.83770101247143
