Frequency,Nominal,Min,Max
30000,-0.43027817604286595,-0.45681164594950696,-0.40438079465696974
30698.789768422623,-0.44031869552813474,-0.4674739269915761,-0.4138149416743503
31413.856441526983,-0.4505943876776389,-0.4783861320631171,-0.42346991009716195
32145.579157128188,-0.46111082421872407,-0.48955419605537415,-0.4333509208727878
32894.345884295544,-0.4718737134908402,-0.5009842003725604,-0.443463322178137
33660.55362905889,-0.4828889041306802,-0.5126823769560646,-0.45381259279557706
34444.608644906475,-0.49416238888095365,-0.5246551124486107,-0.46440434559830923
35246.92664818588,-0.5057003085285985,-0.5369089525052559,-0.4752443311501045
36067.93303852238,-0.5175089559786198,-0.5494506062585613,-0.4863384414246207
36908.06312437144,-0.5295947804701405,-0.5622869509457699,-0.497692713649853
37767.762353825005,-0.5419643919416905,-0.5754250367063694,-0.5093133342836204
38647.486550794005,-0.5546245655532298,-0.5888720915589913,-0.5212066431263696
39547.7021566922,-0.5675822463729042,-0.6026355265672332,-0.5333791375780015
40468.88647774959,-0.5808445542370987,-0.6167229412046722,-0.5458374770458492
41411.527938086525,-0.5944187887929329,-0.6311421289300884,-0.5585884875114401
42376.12633868261,-0.6083124347330019,-0.6459010829847157,-0.5716391662641738
43363.19312237781,-0.6225331672328682,-0.6610080024242228,-0.5849966868106229
44373.251645046206,-0.6370888576025666,-0.6764712983990799,-0.5986684039687702
45406.83745308623,-0.6519875791642251,-0.6922996006980142,-0.6126618591571575
46464.49856737442,-0.6672376133687954,-0.7085017645703948,-0.6269847858896309
47546.795773833386,-0.6828474561658827,-0.7250868778446256,-0.6416451154871623
48654.30292076788,-0.6988258246417247,-0.7420642683609897,-0.6566509830190637
49787.6072231268,-0.7151816639415586,-0.7594435117388767,-0.6720107334868343
50947.309573852304,-0.7319241544938708,-0.7772344394999495,-0.6877329282648945
52134.02486248124,-0.7490627195554398,-0.7954471475705973,-0.7038263518135448
53348.38230116766,-0.7666070330976172,-0.8140920051889946,-0.7203000186806968
54591.025758299475,-0.7845670280559509,-0.8331796642442185,-0.7371631808102286
55862.61409988599,-0.8029529049671216,-0.8527210690772928,-0.7544253351762427
57163.821538897384,-0.8217751410191643,-0.8727274667766087,-0.7720962317640793
58495.337992741326,-0.841044499543199,-0.8932104180030868,-0.7901858819206545
59857.869449066355,-0.8607720399773173,-0.9141818083836355,-0.8087045670985801
61252.13834008585,-0.880969128335997,-0.9356538605149871,-0.8276628480205914
62678.88392562115,-0.901647448221399,-0.9576391466239261,-0.8470715742930957
64138.862685066924,-0.9228190124161817,-0.9801506019342638,-0.8669418945001676
65632.84871848654,-0.9444961751011529,-1.0032015387957411,-0.8872852668120812
67161.63415705014,-0.9666916447450966,-1.026805661635437,-0.9081134701455367
68726.02958303315,-0.9894184977186355,-1.0509770827982448,-0.9294386159161289
70326.86445959761,-1.0126901926889722,-1.075730339349677,-0.951273160427341
71964.98757058465,-1.0365205858579292,-1.101080410921764,-0.9736299179445165
73641.26747055084,-1.0609239471119156,-1.127042738691188,-0.9965220745068779
75356.59294528732,-1.085914977159389,-1.1536332455882454,-1.0199632025357936
77111.87348306584,-1.1115088257391468,-1.18086835784579,-1.0439672763032168
78908.03975686137,-1.1377211109914853,-1.208765028009302,-1.0685486883306177
80746.04411780738,-1.1645679400940545,-1.2373407595426702,-1.0937222667958468
82626.8611001449,-1.192065931275222,-1.2666136331795341,-1.1195032940333791
84551.48793793352,-1.2202322373301846,-1.2966023351873577,-1.1459075262223362
86520.94509379807,-1.2490845707790725,-1.3273261877309845,-1.1729512143667646
88536.27679999146,-1.2786412308221464,-1.3588051815448554,-1.2006511266839843
90598.55161206037,-1.308921132265197,-1.3910600111485263,-1.2290245725295916
92708.8629754076,-1.3399438366087013,-1.4241121128693335,-1.2580894280021915
94868.32980505125,-1.3717295855175964,-1.4579837059694936,-1.28786416338726
97078.09707888834,-1.4042993369151302,-1.4926978372133397,-1.318367872618139
99339.33644477719,-1.4376748039747151,-1.5282784292546459,-1.3496203049532833
101653.24684176061,-1.471878497318616,-1.5647503332750656,-1.3816418990929642
104021.05513575934,-1.5069337707724872,-1.602139386363799,-1.4144538199861405
106444.01677007247,-1.542864871071015,-1.6404724741970886,-1.4480779986097154
108923.41643103023,-1.5796969919634138,-1.6797775996557842,-1.482537175038556
111460.56872915158,-1.617456333229395,-1.7200839581118816,-1.517854945166241
114056.81889616817,-1.6561701651880303,-1.7614220202230928,-1.5540558114844643
116713.543498284,-1.695866899365452,-1.80382362320087,-1.5911652383844732
119432.15116604898,-1.7365761660846175,-1.8473220716652106,-1.6292097125081146
122214.0833412336,-1.7783288998539324,-1.8919522493727752,-1.6682168087506406
125060.8150411004,-1.8211574335643057,-1.937750743308024,-1.7082152626041547
127973.85564047757,-1.8650956026596566,-1.9847559818651352,-1.7492350496316962
130954.74967204955,-1.9101788606280397,-2.0330083891276014,-1.791307472980053
134005.0776452887,-1.9564444073740699,-2.0825505575788523,-1.834465259977486
137126.45688446227,-2.0039313322836323,-2.1334274419585006,-1.8787426690242839
140320.5423861592,-2.0526807740849957,-2.185686577421999,-1.9241756081735621
143589.02769679125,-2.1027360999531015,-2.239378325673982,-1.9708017670219289
146933.6458105336,-2.1541431067032666,-2.294556153333314,-2.018660763789943
150356.17008818142,-2.206950247383881,-2.3512769474541213,-2.0677943097770903
153858.41519740917,-2.2612088871119,-2.4096013738700517,-2.118246393731937
157442.2380749315,-2.31697359260476,-2.4695942848375436,-2.1700634890924793
161109.5389110755,-2.374302460549498,-2.5313251833019503,-2.2232947875315707
164862.26215728704,-2.433257490709171,-2.5948687519473252,-2.2779924627938803
168702.39755710438,-2.4939050104821114,-2.6603054559278814,-2.334211969438348
172631.98120114673,-2.5563161584668594,-2.7277222286687164,-2.3920123818031946
176653.09660667632,-2.6205674353816915,-2.7972132501284506,-2.4514567792816195
180767.87582230693,-2.6867413313345065,-2.8688808260657805,-2.5126126848145374
184978.50055844424,-2.7549270387598748,-2.9428363745768973,-2.5755525643307555
189287.20334405755,-2.825221260055039,-3.019201521614611,-2.6403543956207054
193696.26871039622,-2.8977291176216373,-3.098109299093549,-2.7071023156922056
198208.03440227837,-2.972565170994392,-3.179705425681,-2.775887355823978
202824.89261759407,-3.049854540025362,-3.2641496288331484,-2.8468082729867836
207549.29127568047,-3.1297341232410916,-3.351616933391366,-2.919972484554268
212383.7353152409,-3.2123538844053328,-3.4422987921657393,-2.9954971095362133
217330.7880224965,-3.2978781550421346,-3.5364038610813373,-3.07351011283684
222393.07239027473,-3.386486862136605,-3.63415811817611,-3.154151537663089
227573.27250875457,-3.478376533060192,-3.735803884437348,-3.2375747928781924
232874.13498860694,-3.573760847269477,-3.8415971200974997,-3.3239479335852034
238298.47041728385,-3.672870388958313,-3.951802145559235,-3.4134548301449663
243849.15484922915,-3.7759510997228536,-4.066682692596325,-3.5062960574735915
249529.13133080065,-3.8832607327069377,-4.186487983887783,-3.6026892458856987
255341.41146071226,-3.9950623779397754,-4.311432477556647,-3.702868509481976
261289.0769868235,-4.111613893889069,-4.441668183431898,-3.8070824020820213
267375.2814401229,-4.233151914631069,-4.5772493178662526,-3.9155896436328015
273603.25180677214,-4.359869139724011,-4.7180907854298795,-4.0286516252991245
279976.2902390965,-4.491884065822092,-4.863924674650333,-4.146520479669022
286497.77580642997,-4.629203454882567,-5.0142623021971975,-4.269421380571869
293171.1662867424,-4.771679888244147,-5.168372260383599,-4.397527868803614
299999.9999999991,-4.918969717868993,-5.325285596053759,-4.530929614776576
306987.89768422535,-5.07050002967245,-5.483835814750941,-4.6695933968111785
314138.56441526895,-5.225455527487507,-5.642733398861006,-4.813320383058966
321455.791571281,-5.382795607294712,-5.800664164121754,-4.961705920677009
328943.45884295454,-5.541306813073629,-5.956392569194395,-5.114111189881008
336605.53629058803,-5.69968675459914,-6.108849296709021,-5.269657727685476
344446.0864490638,-5.856645568206456,-6.257188032305988,-5.427254052245773
352469.2664818578,-6.011004815848661,-6.400806352689264,-5.585657319603948
360679.3303852228,-6.161774647998756,-6.539335188490706,-5.743563264773046
369080.6312437134,-6.308197589683927,-6.6726069777287975,-5.899708367725381
377677.62353824906,-6.449757506799204,-6.800613680470569,-6.052963822152585
386474.865507939,-6.58616061974741,-6.9234636962774285,-6.202403834040577
395477.0215669209,-6.717299361338224,-7.041343392417179,-6.3473394271948775
404688.8647774948,-6.843209616835795,-7.154485869723226,-6.487318907479414
414115.2793808641,-6.964029176922356,-7.263147412069905,-6.622103306104211
423761.2633868249,-7.079961921130905,-7.367590834460277,-6.751627778774688
433631.93122377683,-7.191249484518948,-7.468074435817675,-6.875958834016878
443732.51645046077,-7.298150344650763,-7.564845198142177,-6.995254268026872
454068.3745308609,-7.400925323818151,-7.658135031592285,-7.109729472784107
464644.98567374283,-7.4998281749774955,-7.7481591018900655,-7.219631284681123
475467.95773833245,-7.5950999489392474,-7.835115514294272,-7.325218991695428
486543.02920767735,-7.686966032914144,-7.919185832766354,-7.4267513717857945
497876.0722312665,-7.77563498950134,-8.000536074085975,-7.524478426599741
509473.09573852154,-7.861298550526001,-8.07931793679726,-7.618636560302035
521340.24862481083,-7.944132307614253,-8.155670110870979,-7.709446164041421
533483.8230116749,-8.024296786317098,-8.229719573593378,-7.7971108033434735
545910.257582993,-8.101938697193695,-8.301582817376024,-7.881817420261164
558626.1409988581,-8.17719223282171,-8.371366981517264,-7.963737136783792
571638.215388972,-8.250180331654859,-8.439170876679505,-8.04302637916593
584953.3799274113,-8.3210158643951,-8.505085901071533,-8.119828139831817
598578.6944906615,-8.389802721140038,-8.569196853233288,-8.194273261743149
612521.3834008563,-8.456636791785169,-8.631582649429873,-8.266481676733289
626788.8392562092,-8.521606840736744,-8.69231695500477,-8.33656356029743
641388.626850667,-8.58479528184539,-8.751468739308645,-8.404620385341106
656328.487184863,-8.646278861927703,-8.809102763463294,-8.470745869880641
671616.341570499,-8.70612926219918,-8.865280009531523,-8.535026821134647
