Frequency,Nominal,Min,Max
30000,113317.94494846754,112205.65746456856,114452.82773218937
30698.789768422623,110758.83322351305,109672.10694209133,111867.6412612465
31413.856441526983,108258.44339422855,107196.70198531833,109341.76472073726
32145.579157128188,105815.44944404598,104778.1298155947,106873.85858987327
32894.345884295544,103428.5557689482,102415.107767602,104462.61406568089
33660.55362905889,101096.49648916278,100106.38260786753,102106.75236774076
34444.608644906475,98818.03477652301,97850.72986878258,99805.02405875544
35246.92664818588,96591.96219713328,95646.95319777045,97556.20838057906
36067.93303852238,94417.09806898338,93493.88372125225,95359.1126053506
36908.06312437144,92292.2888341651,91390.37942306625,93212.57140138009
37767.762353825005,90216.40744534993,89335.32453700351,91115.44621344408
38647.486550794005,88188.35276619524,87327.62895312987,89066.62465715472
39547.7021566922,86207.04898535283,85366.22763757061,87065.01992707269
40468.88647774959,84271.44504376019,83450.0800654417,85109.5702182422
41411.527938086525,82380.5140749014,81578.16966661673,83199.2381608319
42376.12633868261,80533.25285773147,79749.50328402634,81333.01026757275
43363.19312237781,78728.6812819633,77963.11064419158,79509.89639368931
44373.251645046206,76965.84182542308,76218.04383969955,77728.929209028
45406.83745308623,75243.79904318502,74513.37682333503,75989.1636820907
46464.49856737442,73561.63906820276,72848.20491358715,74289.6765756883
47546.795773833386,71918.46912315962,71221.64431125586,72629.56595393461
48654.30292076788,70313.41704326514,69632.83162688793,71007.95070030542
49787.6072231268,68745.63080973094,68080.92341877718,69423.9700464937
50947.309573852304,67214.27809366313,66565.09574126887,67876.78311179632
52134.02486248124,65718.54581011413,65084.54370311219,66365.5684527727
53348.38230116766,64257.63968204054,63638.4810356101,64889.52362292038
54591.025758299475,62830.78381391864,62226.13967031984,63447.86474211743
55862.61409988599,61437.22027477338,60846.76932606122,62039.82607558513
57163.821538897384,60076.20869038082,59499.63710499505,60664.65962212973
58495.337992741326,58747.02584440803,58184.02709753664,59321.634711425286
59857.869449066355,57448.96528825825,56899.23999587453,58010.03761010384
61252.13834008585,56181.33695939322,55644.59271586716,56729.17113642339
62678.88392562115,54943.466807907884,54419.4180270947,55478.35428328705
64138.862685066924,53734.69643113657,53223.064190846395,54256.92184939138
65632.84871848654,52554.382716073014,52054.894605826994,53064.224078284395
67161.63415705014,51401.897489390016,50914.28746136992,51899.6263051182
68726.02958303315,50276.627174847934,49800.635397947175,50762.5086108834
70326.86445959761,49177.972457884374,48713.3451747701,49652.26548391697
71964.98757058465,48105.347957180566,47651.83734427748,48568.30548847731
73641.26747055084,47058.1819030034,46615.545933311536,47510.050940184236
75356.59294528732,46035.915822124785,45603.918130784405,46476.9375881244
77111.87348306584,45038.00422912355,44616.41398164208,45468.41430342588
78908.03975686137,44063.91432387804,43652.50608693502,44483.942774108895
80746.04411780738,43113.1256950608,42711.679309808074,43522.997206022475
82626.8611001449,42185.13002945019,41793.430487226324,42585.06402968087
84551.48793793352,41279.43082687686,40897.268147255876,41669.64161281577
86520.94509379807,40395.54312062649,40022.712231722755,40776.2399784647
88536.27679999146,39532.99320312433,39169.29382407691,39904.380528419126
90598.55161206037,38691.31835672986,38336.55488229138,39053.5957718593
92708.8629754076,37870.066589475035,37524.04797663182,38223.42905900711
94868.32980505125,37068.79637558246,36731.33603213491,37413.4343196321
97078.09707888834,36287.07640060578,35957.99207563952,36623.17580625002
99339.33644477719,35524.48531103782,35203.59898721888,35852.22784185816
101653.24684176061,34780.61146823828,34467.749255867646,35100.174572056276
104021.05513575934,34055.05270653748,33750.044739303026,34366.60972140751
106444.01677007247,33347.41609537885,33050.09642774554,33651.13635389919
108923.41643103023,32657.317705369096,32367.524211551132,32953.36663736921
111460.56872915158,31984.38237811143,31701.956652573543,32272.92161177074
114056.81889616817,31328.243499704946,31053.0307591434,31609.430961154558
116713.543498284,30688.542777800616,30420.391764558244,30962.532789255798
119432.15116604898,30064.93002211282,29803.69290898657,30331.87339858032
