Frequency,Nominal,Min,Max
30000,-84.76580946503773,-85.07566438355,-84.45106148699968
30698.789768422623,-84.64459037774033,-84.96154562398743,-84.32264497281466
31413.856441526983,-84.52059749934155,-84.84481017980364,-84.19129647880642
32145.579157128188,-84.39376973526257,-84.72540003508493,-84.05695188759238
32894.345884295544,-84.26404481398161,-84.60325602852404,-83.91954588000563
33660.55362905889,-84.1313592765891,-84.4783178410021,-83.7790119271199
34444.608644906475,-83.9956484672376,-84.35052398384532,-83.63528228342031
35246.92664818588,-83.85684652458012,-84.21981178783453,-83.48828798122996
36067.93303852238,-83.71488637429636,-84.08611739305069,-83.33795882650972
36908.06312437144,-83.56969972281306,-83.94937573964617,-83.18422339615594
37767.762353825005,-83.42121705233224,-83.8095205596371,-83.02700903692917
38647.486550794005,-83.26936761728753,-83.66648436981828,-82.86624186615433
39547.7021566922,-83.11407944235707,-83.52019846591006,-82.7018467743424
40468.88647774959,-82.9552793221697,-83.37059291805227,-82.53374742989172
41411.527938086525,-82.7928928228487,-83.21759656776868,-82.36186628603693
42376.12633868261,-82.62684428554685,-83.06113702653313,-82.18612459022272
43363.19312237781,-82.45705683213558,-82.90114067607615,-82.00644239608982
44373.251645046206,-82.28345237321986,-82.73753267058018,-81.82273857827087
45406.83745308623,-82.10595161866091,-82.57023694091937,-81.63493085020414
46464.49856737442,-81.92447409079867,-82.39917620111041,-81.44293578518418
47546.795773833386,-81.73893814057593,-82.2242719571488,-81.2466688408793
48654.30292076788,-81.54926096677758,-82.0454445184166,-81.04604438755729
49787.6072231268,-81.35535863860858,-81.86261301185627,-80.84097574027163
50947.309573852304,-81.15714612184549,-81.67569539911696,-80.63137519527267
52134.02486248124,-80.9545373088084,-81.48460849688959,-80.41715407091912
53348.38230116766,-80.74744505241048,-81.28926800065831,-80.19822275337707
54591.025758299475,-80.53578120455471,-81.08958851210723,-79.97449074740467
55862.61409988599,-80.31945665915846,-80.88548357043258,-79.7458667325322
57163.821538897384,-80.09838140009803,-80.67686568782185,-79.51225862495751
58495.337992741326,-79.87246455437665,-80.46364638937298,-79.27357364548745
59857.869449066355,-79.64161445083002,-80.24573625773837,-79.02971839386541
61252.13834008585,-79.40573868469458,-80.02304498278943,-78.78059892983394
62678.88392562115,-79.1647441883733,-79.79548141660891,-78.52612086128954
64138.862685066924,-78.91853730874304,-79.56295363412903,-78.26618943989354
65632.84871848654,-78.66702389135651,-79.32536899974336,-78.00070966450808
67161.63415705014,-78.41010937189904,-79.08263424023103,-77.72958639283083
68726.02958303315,-78.14769887526636,-78.83465552434012,-77.45272446160324
70326.86445959761,-77.87969732263497,-78.58133854938585,-77.17002881576803
71964.98757058465,-77.60600954689939,-78.3225886352259,-76.88140464694828
73641.26747055084,-77.32654041685157,-78.05831082598122,-76.58675754161588
75356.59294528732,-77.04119497047733,-77.78840999987477,-76.28599363930869
77111.87348306584,-76.74987855774035,-77.51279098756315,-75.97901980124409
78908.03975686137,-76.45249699321788,-77.23135869933675,-75.66574378966104
80746.04411780738,-76.14895671894303,-76.94401826156167,-75.34607445820302
82626.8611001449,-75.83916497779472,-76.65067516273241,-75.01992195363059
84551.48793793352,-75.52302999775898,-76.35123540949701,-74.68719792912182
86520.94509379807,-75.20046118736418,-76.04560569300466,-74.34781576938506
88536.27679999146,-74.87136934256557,-75.73369356591202,-74.00169082776746
90598.55161206037,-74.53566686532339,-75.41540763036508,-73.64874067549536
92708.8629754076,-74.19326799408071,-75.09065773725084,-73.28888536312924
94868.32980505125,-73.8440890463047,-74.75935519698378,-72.92204769425501
97078.09707888834,-73.48804867320366,-74.42141300206005,-72.54815351136426
99339.33644477719,-73.12506812667665,-74.07674606157126,-72.16713199380058
101653.24684176061,-72.75507153848685,-73.72527144782536,-71.7789159675638
104021.05513575934,-72.3779862115788,-73.36690865516925,-71.38344222667155
106444.01677007247,-71.99374292337927,-73.0015798710483,-70.98065186567537
108923.41643103023,-71.60227624083306,-72.6292102592715,-70.57049062281902
111460.56872915158,-71.20352484682822,-72.24972825537577,-70.15290923320764
114056.81889616817,-70.7974318775602,-71.8630658739007,-69.72786379122904
116713.543498284,-70.38394527026985,-71.4691590272934,-69.29531612133341
119432.15116604898,-69.96301812066791,-71.06794785606377,-68.85523415613454
122214.0833412336,-69.53460904922758,-70.6593770697018,-68.40759232064583
125060.8150411004,-69.09868257538812,-70.24339629775216,-67.95237192130806
127973.85564047757,-68.65520949856621,-69.81996045031515,-67.48956153830495
130954.74967204955,-68.20416728471882,-69.38903008711054,-67.01915741949703
134005.0776452887,-67.7455404570428,-68.95057179409805,-66.54116387413698
137126.45688446227,-67.27932098923327,-68.50455856650139,-66.0555936643618
140320.5423861592,-66.80550869955691,-68.0509701969262,-65.56246839228997
143589.02769679125,-66.32411164382704,-67.5897936671035,-65.06181888038924
146933.6458105336,-65.83514650520128,-67.12102354162458,-64.55368554262273
150356.17008818142,-65.338638978556,-66.64466236186689,-64.03811874373419
153858.41519740917,-64.8346241470315,-66.16072103814243,-63.515179143895175
157442.2380749315,-64.32314684818847,-65.66921923793225,-62.98493802581627
161109.5389110755,-63.80426202707271,-65.17018576790741,-62.447477601319875
164862.26215728704,-63.278035073355106,-64.66365894727751,-61.90289129429003
168702.39755710438,-62.74454213959926,-64.14968696985832,-61.35128399685645
172631.98120114673,-62.20387043761487,-63.62832825210956,-60.792772295639686
176653.09660667632,-61.65611850978264,-63.09965176427,-60.227484664885985
180767.87582230693,-61.10139647219098,-62.56373734160784,-59.65556162335466
184978.50055844424,-60.53982622640799,-62.0206759727177,-59.07715585189361
189287.20334405755,-59.97154163672815,-61.47057006173161,-58.492432268749006
193696.26871039622,-59.39668866978481,-60.91353366127507,-57.901568059808326
198208.03440227837,-58.81542549350824,-60.34969267299336,-57.30475266117008
202824.89261759407,-58.227922532539424,-59.77918501250092,-56.702187691672734
207549.29127568047,-57.63436247738007,-59.20216073566984,-56.09408683329582
212383.7353152409,-57.03494024477453,-58.61878212327724,-55.48067565767144
217330.7880224965,-56.42986288707646,-58.02922372117333,-54.86219139730893
222393.07239027473,-55.819349448654236,-57.433672333318704,-54.23888266053947
227573.27250875457,-55.20363076773197,-56.83232696526778,-53.61100908962614
232874.13498860694,-54.5829492224456,-56.22539871594775,-52.978840961954674
238298.47041728385,-53.95755842031377,-55.61311061589746,-52.34265873471566
243849.15484922915,-53.32772283077642,-54.99569741048744,-51.70275253400373
249529.13133080065,-52.69371736093582,-54.37340528703745,-51.05942158978722
255341.41146071226,-52.05582687513984,-53.74649154518039,-50.412973618736004
261289.0769868235,-51.41434565956904,-53.11522421028391,-49.76372415742504
267375.2814401229,-50.769576833520496,-52.47988159023229,-49.111995848953
273603.25180677214,-50.1218317096147,-51.840751776381694,-48.4581176865163
279976.2902390965,-49.47142910567918,-51.1981320900285,-47.80242421795305
286497.77580642997,-48.818694611576085,-50.55232847626265,-47.14525471571021
293171.1662867424,-48.16395981473055,-49.903654847610724,-46.48695231708256
299999.9999999991,-47.507561488576506,-49.252432380396925,-45.827863139916516
306987.89768422535,-46.84984074855625,-48.598988767256415,-45.16833537926014
314138.56441526895,-46.1911421806838,-47.94365742971649,-44.50871839066606
321455.791571281,-45.531812948001935,-47.28677669520756,-43.84936176601326
328943.45884295454,-44.8722018805232,-46.62868894327167,-43.1906144078033
336605.53629058803,-44.21265855444171,-45.969739726092094,-42.53282360790477
344446.0864490638,-43.55353236653067,-45.310276868768334,-41.8763341366664
352469.2664818578,-42.89517160969813,-44.6506495550002,-41.22148734819558
360679.3303852228,-42.23792255565972,-43.99120740401856,-40.56862030740649
369080.6312437134,-41.58212855060185,-43.332299544704945,-39.9180649441856
377677.62353824906,-40.92812912955399,-42.67427369287594,-39.27014723970574
386474.865507939,-40.276259154966745,-42.01747523767034,-38.625186449549524
395477.0215669209,-39.62684798470854,-41.36224634286824,-37.983494367885626
404688.8647774948,-38.980218674351974,-40.7089250687933,-37.345374636484294
414115.2793808641,-38.33668721822889,-40.057844520206494,-36.71112210186976
423761.2633868249,-37.69656183329649,-39.40933202529508,-36.081022223395536
433631.93122377683,-37.06014228938545,-38.763708350502036,-35.45535053450155
443732.51645046077,-36.427719288899816,-38.12128695553223,-34.83437215887875
454068.3745308609,-35.799573898519725,-37.48237329242359,-34.218341382735396
464644.98567374283,-35.17597703492681,-36.84726415208804,-33.60750128383611
475467.95773833245,-34.55718900603844,-36.21624706121985,-33.00208341747931
486543.02920767735,-33.94345910870882,-35.589599731944794,-32.402307559094616
497876.0722312665,-33.335025283338624,-34.96758956605041,-31.808381502686558
509473.09573852154,-32.73211382533819,-34.350473215105495,-31.22050091392939
521340.24862481083,-32.13493915291792,-33.738496197251564,-30.638849236331918
533483.8230116749,-31.54370363023844,-33.13189257093852,-30.063597648546178
545910.257582993,-30.9585974445474,-32.530884665388285,-29.49490507059034
558626.1409988581,-30.379798535561843,-31.93568286710833,-28.932918216495715
571638.215388972,-29.80747257502841,-31.346485461347037,-28.37777169067078
584953.3799274113,-29.24177299410959,-30.76347852699004,-27.829588125101154
598578.6944906615,-28.68284105600291,-30.186835883041958,-27.288478354372504
612521.3834008563,-28.13080597100279,-29.616719084525588,-26.75454162541159
626788.8392562092,-27.585785051059553,-29.05327746536086,-26.22786583878705
641388.626850667,-27.04788390077656,-28.49664822555947,-25.70852781839349
656328.487184863,-26.51719664171201,-27.946956559888086,-25.196593606357222
671616.341570499,-25.99380616681465,-27.404315825011782,-24.692118780045668
687260.295830329,-25.477784421819816,-26.868827742029683,-24.195148788133647
703268.6445959735,-24.96919271046026,-26.340582631252552,-23.70571930277246
719649.8757058439,-24.468082020402605,-25.81965967604717,-23.223856585021075
