Frequency,Nominal,Min,Max
30000,-24.972117226081437,-26.582013635030044,-23.439393356850083
30698.789768422623,-25.55482675127052,-27.202435268578643,-23.986221036258275
31413.856441526983,-26.151183734503245,-27.83739816771219,-24.545847375507325
32145.579157128188,-26.76151144231496,-28.487247538118336,-25.118574925291128
32894.345884295544,-27.386141062343302,-29.15233710014452,-25.7047136054638
33660.55362905889,-28.025411916651308,-29.833029322155102,-26.30458090031399
34444.608644906475,-28.67967168218463,-30.52969566197141,-26.918502060152612
35246.92664818588,-29.349276618696777,-31.24271681679057,-27.54681030949679
36067.93303852238,-30.034591804497808,-31.972482982005026,-28.189847062150076
36908.06312437144,-30.735991380405213,-32.719394119372886,-28.84796214349817
37767.762353825005,-31.453858802300743,-33.48386023502088,-29.521514020359287
38647.486550794005,-32.18858710272381,-34.26630166779412,-30.210870038750315
39547.7021566922,-32.94057916196119,-35.06714938850376,-30.916406669953727
40468.88647774959,-33.710247989124866,-35.88684531066246,-31.63850976529517
41411.527938086525,-34.49801701374349,-36.725842613340454,-32.37757482007004
42376.12633868261,-35.304320388430455,-37.58460607682139,-33.134007247086004
43363.19312237781,-36.129603303231725,-38.46361243178693,-33.908222660321826
44373.251645046206,-36.97432231230042,-39.363350722814964,-34.70064716923699
45406.83745308623,-37.83894567359281,-40.284322687035036,-35.5117176843053
46464.49856737442,-38.72395370233173,-41.22704314885072,-36.341882234385565
47546.795773833386,-39.629839139040584,-42.19204043170939,-37.191600296588625
48654.30292076788,-40.557107533011624,-43.17985678797778,-38.06134313934773
49787.6072231268,-41.50627764214063,-44.19104884806745,-38.951594179452044
50947.309573852304,-42.47788185013187,-45.22618809004725,-39.862849353861705
52134.02486248124,-43.47246660215851,-46.28586133108218,-40.79561750718414
53348.38230116766,-44.49059286015152,-47.37067124215174,-41.75042079576182
54591.025758299475,-45.53283657898537,-48.481236887622494,-42.727795109395124
55862.61409988599,-46.59978920493545,-49.61819429138848,-43.728290511806904
57163.821538897384,-47.69205819789739,-50.782197031440695,-44.75247170104476
58495.337992741326,-48.810267578986846,-51.97391686489409,-45.8009184911158
59857.869449066355,-49.9550585052778,-53.19404438568348,-46.87422631625682
61252.13834008585,-51.127089873593214,-54.44328971734146,-47.97300675936132
62678.88392562115,-52.32703895543282,-55.72238324349727,-49.09788810621592
64138.862685066924,-53.555602065311156,-57.032076378983824,-50.24951592734254
65632.84871848654,-54.813495264989456,-58.373142384716985,-51.428553689401646
67161.63415705014,-56.10145510631622,-59.74637722982045,-52.63568339828696
68726.02958303315,-57.420239415649256,-61.15260050481183,-53.87160627623666
70326.86445959761,-58.7706281231188,-62.592656390050855,-55.13704347550051
71964.98757058465,-60.153424140309575,-64.06741468407854,-56.43273683134046
73641.26747055084,-61.56945429029665,-65.57777189695824,-57.75944965740742
75356.59294528732,-63.019570294366524,-67.12465241426915,-59.11796758683101
77111.87348306584,-64.50464982020075,-68.70900973800968,-60.50909946268637
78908.03975686137,-66.02559759679743,-70.33182781135355,-61.93367828186982
80746.04411780738,-67.58334660196734,-71.99412243497281,-63.39256219682151
82626.8611001449,-69.17885932887091,-73.69694278351632,-64.88663557999357
84551.48793793352,-70.81312913877359,-75.44137303182356,-66.41681015647428
86520.94509379807,-72.48718170800049,-77.22853410157748,-67.98402621075657
88536.27679999146,-74.20207657797921,-79.05958554038324,-69.58925387428837
90598.55161206037,-75.95890881829175,-80.93572754672,-71.23349450117517
92708.8629754076,-77.75881081382767,-82.85820315588505,-72.91778214023351
94868.32980505125,-79.60295418846634,-84.8283006039666,-74.64318511253163
97078.09707888834,-81.49255187924005,-86.8473558890821,-76.41080770461781
99339.33644477719,-83.42886037667508,-88.91675555165406,-78.22179198884781
101653.24684176061,-85.4131821490082,-91.0379396984223,-80.077319783602
104021.05513575934,-87.44686827027816,-93.21240529827625,-81.97861476775978
106444.01677007247,-89.53132127494152,-95.44170978191548,-83.92694476560332
108923.41643103023,-91.66799826472626,-97.72747498190951,-85.92362422039484
111460.56872915158,-93.85841429698276,-100.07139145503676,-87.97001687725414
114056.81889616817,-96.10414608790445,-102.47522323497971,-90.06753869871213
116713.543498284,-98.40683606877717,-104.94081307069317,-92.21766103949155
119432.15116604898,-100.76819683898847,-107.47008821423674,-94.42191411074621
122214.0833412336,-103.19001606603747,-110.06506683178655,-96.68189076826103
125060.8150411004,-105.67416189039089,-112.72786512318193,-98.99925066408633
127973.85564047757,-108.22258890193939,-115.46070524900296,-101.37572480687189
130954.74967204955,-110.83734476524324,-118.26592418016688,-103.81312058293354
134005.0776452887,-113.52057758299081,-121.14598360373611,-106.31332729799638
137126.45688446227,-116.27454410143363,-124.10348104047479,-108.87832230882638
140320.5423861592,-119.10161887835777,-127.14116235508251,-111.51017782481848
143589.02769679125,-122.00430455378435,-130.26193586939775,-114.21106847234134
146933.6458105336,-124.98524338647748,-133.46888832253885,-116.98327972955381
150356.17008818142,-128.04723024588853,-136.76530296012328,-119.8292173568702
153858.41519740917,-131.19322727977115,-140.15468007727478,-122.75141796864689
157442.2380749315,-134.42638051264453,-143.64076038645385,-125.75256091540255
161109.5389110755,-137.7500386696503,-147.22755162973618,-128.83548167337855
164862.26215728704,-141.16777456385745,-150.91935890311936,-132.00318696984962
168702.39755710438,-144.6834094317872,-154.72081920267422,-135.25887190854684
172631.98120114673,-148.3010406499064,-158.63694073041043,-138.60593939984165
176653.09660667632,-152.02507331044873,-162.67314749801272,-142.04802224451635
180767.87582230693,-155.86025617198328,-166.83532971786636,-145.58900826682884
184978.50055844424,-159.8117225185461,-171.12990034043924,-149.23306893979284
189287.20334405755,-163.88503644481872,-175.56385783604176,-152.9846919888938
193696.26871039622,-168.08624500891952,-180.14485485451672,-156.84871849268296
198208.03440227837,-172.42193652102392,-184.8812716226456,-160.83038500827197
202824.89261759407,-176.8993049087185,-189.7822917049135,-164.935371218478
207549.29127568047,-181.52621953555763,-194.8579758484723,-169.1698534972256
212383.7353152409,-186.31129892770917,-200.11932677479962,-173.54056457842864
217330.7880224965,-191.26398541525685,-205.57833360645378,-178.05485912796786
222393.07239027473,-196.39461548669445,-211.24797869944013,-182.7207843664869
227573.27250875457,-201.71447737951752,-217.14218155569563,-187.54715384051985
232874.13498860694,-207.2358427030406,-223.27564392679557,-192.54362080592045
238298.47041728385,-212.9719522794015,-229.66354735989648,-197.7207452192551
243849.15484922915,-218.93692750097475,-236.32104048406953,-203.09004470258878
249529.13133080065,-225.14556718122483,-243.26244144119605,-208.66401465731442
255341.41146071226,-231.6129765974144,-250.5000773484332,-214.4560955253605
261289.0769868235,-238.35396197690528,-258.04269815181584,-220.48055568515377
267375.2814401229,-245.38211418936817,-265.8934515114759,-226.7522466054381
273603.25180677214,-252.708507566402,-274.04750399291595,-233.28617343135946
279976.2902390965,-260.3399656649366,-282.4895484714985,-240.0968114705419
286497.77580642997,-268.2769108682155,-291.191629439362,-247.19709206051266
293171.1662867424,-276.51093242807616,-300.1118852347863,-254.59698885022092
299999.9999999991,-285.02237726314615,-309.19484478537555,-262.3016707494308
306987.89768422535,-293.77845711173967,-318.3737196926998,-270.3092661632041
314138.56441526895,-302.73249705314277,-327.5746738219122,-278.6084154402213
321455.791571281,-311.8249138037704,-336.7224587289161,-287.17596697618546
328943.45884295454,-320.98622123097243,-345.74633287684713,-295.9753531248517
336605.53629058803,-330.14183850353925,-354.58507967411464,-304.9562764457494
344446.0864490638,-339.2179033802996,-363.1902606872739,-314.0562351810425
352469.2664818578,-348.1469387236943,-371.52741245138213,-323.20405594139936
360679.3303852228,-356.87227362335864,-379.5754427492099,-332.32504696519277
369080.6312437134,-365.35055216599966,-387.32480595095615,-341.34685181320106
377677.62353824906,-373.5522471821671,-394.77509744313494,-350.2048333968122
386474.865507939,-381.4605724226884,-401.9325851909843,-358.84598721303047
395477.0215669209,-389.0694117834221,-408.8080054776154,-367.2308782733658
404688.8647774948,-396.38086935487905,-415.4147733290207,-375.3336677177545
414115.2793808641,-403.402888966602,-421.7676331769943,-383.14070583359
423761.2633868249,-410.14720206298426,-427.8817047824783,-390.64832040488494
433631.93122377683,-416.6277043369211,-433.7718502837316,-397.8603660907785
443732.51645046077,-422.8592575154768,-439.45228454213833,-404.7859288763928
454068.3745308609,-428.85685871124304,-444.9363600054153,-411.4373956847154
464644.98567374283,-434.635101048733,-450.2364708777921,-417.82895602812386
475467.95773833245,-440.2078509400667,-455.3640350143131,-423.9755138139978
486543.02920767735,-445.58807841754344,-460.3295236665388,-429.8919447138387
497876.0722312665,-450.7877906232896,-465.1425184390809,-435.5926225536626
509473.09573852154,-455.81803146618415,-469.8117816990329,-441.09114309500416
521340.24862481083,-460.68892119809135,-474.34533160801084,-446.4001856485065
533483.8230116749,-465.4097179649439,-478.75051636280125,-451.5314665280315
545910.257582993,-469.98888949587246,-483.0340845329589,-456.49575064566574
558626.1409988581,-474.43418742268557,-487.20224989263886,-461.30289755579815
571638.215388972,-478.7527196986565,-491.2607501027049,-465.96192588600024
584953.3799274113,-482.95101857643357,-495.2148991849964,-470.48108564977105
598578.6944906615,-487.0351028993839,-499.06963406913485,-474.8679318456392
612521.3834008563,-491.0105342753552,-502.82955567040193,-479.1293954179572
626788.8392562092,-494.882467193216,-506.49896503416005,-483.2718494301112
641388.626850667,-498.6556934206589,-510.0818950975453,-487.30116944751916
656328.487184863,-502.334681162523,-513.5821385987066,-491.222787843476
671616.341570499,-505.92360951366487,-517.0032726243811,-495.04174216749277
687260.295830329,-509.42639874335197,-520.3486802386265,-498.7627179526237
703268.6445959735,-512.8467369216266,-523.6215695854232,-502.3900864535646
719649.8757058439,-516.188103356373,-526.8249908093608,-505.92793784703053
736412.6747055057,-519.4537892618873,-529.9618510936901,-509.3801104205797
753565.9294528705,-522.6469160309293,-533.0349280745794,-512.7502162455031
771118.7348306555,-525.7704514356255,-536.0468818547038,-516.0416637863007
789080.3975686108,-528.8272240397879,-539.0002658082046,-519.2576778514634
807460.4411780708,-531.819936066879,-541.8975363422416,-522.4013172424691
826268.6110014459,-534.7511749341246,-544.7410617573921,-525.4754904126873
845514.879379332,-537.6234236339677,-547.5331303296074,-528.4829694066306
865209.4509379774,-540.439070118806,-550.2759577198268,-531.4264023131881
885362.7679999112,-543.2004158233502,-552.9716938033158,-534.3083244341817
905985.5161206003,-545.9096834405275,-555.6224289989256,-537.1311683415684
927088.6297540724,-548.5690240512218,-558.2302001684823,-539.897272972492
948683.298050509,-551.1805236949067,-560.7969961480859,-542.6088918907708
970780.9707888798,-553.7462094570199,-563.324762966032,-545.268200825821
993393.3644477681,-556.2680551394768,-565.8154087961269,-547.8773045850993
1016532.4684176022,-558.7479865727342,-568.2708086901958,-550.4382434234906
1040210.5513575893,-561.1878866210965,-570.6928091294443,-552.9529989423609
1064440.1677007207,-563.589599927287,-573.0832324308733,-555.4234995819396
1089234.1643102982,-565.9549374375578,-575.4438810421159,-557.8516257630473
1114605.6872915116,-568.285680744616,-577.7765417557201,-560.2392147277276
1140568.1889616773,-570.583586282321,-580.0829898720277,-562.5880651228963
1167135.4349828353,-572.85038940333,-582.3649933382791,-564.8999413665362
1194321.511660485,-575.0878083685908,-584.6243168904195,-567.176577832113
1222140.8334123313,-577.2975482757045,-586.8627262231823,-569.4196828836576
1250608.150410999,-579.4813049516792,-589.0819922133971,-571.630942791269
1279738.5564047706,-581.6407688343963,-591.2838952210535,-573.8120255545573
1309547.4967204903,-583.7776288661926,-593.4702294924015,-575.9645846597128
1340050.7764528815,-585.8935764222845,-595.6428076892954,-578.0902627943939
1371264.568844617,-587.9903092962847,-597.8034655690096,-580.1906955434388
1403205.4238615865,-590.0695357647775,-599.954066838883,-582.2675150874788
1435890.2769679066,-592.1329787527859,-602.0965082103116,-584.3223539258349
1469336.45810533,-594.1823801219696,-604.2327246767975,-586.3568486445863
1503561.7008818078,-596.2195051034996,-606.3646950408919,-588.3726437503896
1538584.1519740853,-598.2461468977535,-608.4944477149284,-590.3713955904689
1574422.3807493083,-600.2641314632205,-610.6240668203103,-592.3547763791773
1611095.3891107484,-602.2753225172811,-612.7556986097467,-594.3244783516312
1648622.6215728635,-604.2816267717748,-614.8915582361085,-596.2822180651003
1687023.9755710368,-606.284999426465,-617.0339368903533,-598.2297408691144
1726319.81201146,-608.2874499435816,-619.1852093291171,-600.1688255655482
1766530.9660667558,-610.2910481265118,-621.3478418098729,-602.101289280283
1807678.758223062,-612.29793052532,-623.5244004477825,-604.0289925683566
1849785.0055844348,-614.3103071910211,-625.7175600032224,-605.9538447747761
1892872.0334405678,-616.3304687992593,-627.9301131020842,-607.8778096733113
1936962.6871039541,-618.3607941621171,-630.1649798819151,-609.8029114055737
1982080.3440227753,-620.4037581439775,-632.4252180452174,-611.7312407424153
2028248.9261759322,-622.4619399934604,-634.714033286179,-613.6649616890637
2075492.912756796,-624.5380320981519,-637.0347900379497,-615.60631845434
2123837.3531524,-626.6348491617629,-639.3910224634695,-617.5576428026078
2173307.8802249557,-628.7553377940784,-641.7864455827058,-619.5213618046214
2223930.7239027377,-630.9025864920239,-644.2249663917793,-621.5000059999314
2275732.725087536,-633.0798359747661,-646.7106947834696,-623.4962179787046
2328741.3498860593,-635.2904898161925,-649.2479540224576,-625.5127613843741
2382984.7041728282,-637.5381252934963,-651.8412904607361,-627.5525303300436
2438491.548492281,-639.8265043398374,-654.4954820971878,-629.6185592105438
