Frequency,Nominal,Min,Max
30000,2.73173149623783e-7,2.702889671158153e-7,2.760759683565754e-7
30698.789768422623,2.731392987127044e-7,2.7024583519425367e-7,2.760522831982862e-7
31413.856441526983,2.731038501610625e-7,2.7020067999583763e-7,2.760274682974895e-7
32145.579157128188,2.730667284836924e-7,2.701534070906394e-7,2.760014691582037e-7
32894.345884295544,2.7302785462404004e-7,2.7010391768910316e-7,2.759742286024763e-7
33660.55362905889,2.7298714578516516e-7,2.7005210844555737e-7,2.7594568663407854e-7
34444.608644906475,2.729445152528103e-7,2.6999787125336493e-7,2.7591578029497434e-7
35246.92664818588,2.7289987221017606e-7,2.699410930314086e-7,2.7588444351416766e-7
36067.93303852238,2.72853121544032e-7,2.6988165550160227e-7,2.7585160694851133e-7
36908.06312437144,2.728041636417817e-7,2.698194349571182e-7,2.7581719781504166e-7
37767.762353825005,2.727528941790804e-7,2.6975430202101116e-7,2.7578113971437737e-7
38647.486550794005,2.72699203897598e-7,2.6968612139492724e-7,2.7574335244469875e-7
39547.7021566922,2.726429783725027e-7,2.696147515975737e-7,2.7570375180580506e-7
40468.88647774959,2.7258409776922885e-7,2.6954004469263633e-7,2.75662249392715e-7
41411.527938086525,2.7252243658908415e-7,2.694618460058253e-7,2.756187523782629e-7
42376.12633868261,2.7245786340323477e-7,2.6937999383074e-7,2.7557316328410736e-7
43363.19312237781,2.7239024057460427e-7,2.6929431912324657e-7,2.7552537973955606e-7
44373.251645046206,2.7231942396720793e-7,2.692046451840715e-7,2.754752942275778e-7
45406.83745308623,2.7224526264244155e-7,2.6911078732932657e-7,2.754227938173597e-7
46464.49856737442,2.7216759854183846e-7,2.6901255254869676e-7,2.7536775988273854e-7
47546.795773833386,2.7208626615580314e-7,2.689097391510366e-7,2.7531006780581847e-7
48654.30292076788,2.7200109217784245e-7,2.6880213639714976e-7,2.75249586665075e-7
49787.6072231268,2.71911895143805e-7,2.6868952411955015e-7,2.751861789072211e-7
50947.309573852304,2.71818485055661e-7,2.6857167232903684e-7,2.7511970000211304e-7
52134.02486248124,2.717206629893685e-7,2.6844834080795446e-7,2.750499980799582e-7
53348.38230116766,2.7161822068638515e-7,2.683192786900575e-7,2.749769135500926e-7
54591.025758299475,2.715109401284246e-7,2.681842240269491e-7,2.7490027870060574e-7
55862.61409988599,2.713985930950834e-7,2.68042903341128e-7,2.748199172781024e-7
57163.821538897384,2.712809407040177e-7,2.678950311657511e-7,2.7473564404691955e-7
58495.337992741326,2.7115773293340387e-7,2.6774030957129693e-7,2.746472643271609e-7
59857.869449066355,2.7102870812648874e-7,2.675784276794181e-7,2.745545735109598e-7
61252.13834008585,2.708935924781215e-7,2.6740906116437174e-7,2.744573565564594e-7
62678.88392562115,2.707520995032626e-7,2.672318717425449e-7,2.743553874590859e-7
64138.862685066924,2.706039294875879e-7,2.670465066507337e-7,2.742484286998166e-7
65632.84871848654,2.7044876892045204e-7,2.6685259811398923e-7,2.7413623067028e-7
67161.63415705014,2.7028628991064645e-7,2.666497628040302e-7,2.74018531074712e-7
68726.02958303315,2.701161495855893e-7,2.6643760128942097e-7,2.7389505430900116e-7
70326.86445959761,2.699379894748157e-7,2.662156974789448e-7,2.737655108173219e-7
71964.98757058465,2.6975143487891427e-7,2.659836180598646e-7,2.736295964271581e-7
73641.26747055084,2.6955609422536334e-7,2.65740911933044e-7,2.7348699166389144e-7
75356.59294528732,2.6935155841309024e-7,2.654871096472409e-7,2.733373610465565e-7
77111.87348306584,2.6913740014799156e-7,2.6522172283523567e-7,2.7318035236687635e-7
78908.03975686137,2.6891317327212793e-7,2.649442436548777e-7,2.7301559595427854e-7
80746.04411780738,2.6867841208986094e-7,2.646541442385791e-7,2.728427039302804e-7
82626.8611001449,2.6843263069481693e-7,2.643508761553022e-7,2.726612694564234e-7
84551.48793793352,2.68175322302276e-7,2.6403386988964635e-7,2.7247086598084956e-7
86520.94509379807,2.6790595859238607e-7,2.637025343432777e-7,2.722710464896575e-7
88536.27679999146,2.676239890705121e-7,2.6335625636464283e-7,2.7206134277036504e-7
90598.55161206037,2.6732884045205733e-7,2.62893970314223e-7,2.7184126469615585e-7
92708.8629754076,2.6701991608024153e-7,2.623754554062752e-7,2.7164791975193036e-7
94868.32980505125,2.6669659538661385e-7,2.618352186949538e-7,2.7155170607988205e-7
97078.09707888834,2.663582334055183e-7,2.6127247865319046e-7,2.7144932791212537e-7
99339.33644477719,2.660041603553265e-7,2.606864375866347e-7,2.7134037097695924e-7
101653.24684176061,2.656336813010227e-7,2.600762825107082e-7,2.712243943710256e-7
104021.05513575934,2.65246075914667e-7,2.594411861834633e-7,2.711009292966994e-7
106444.01677007247,2.648405983523847e-7,2.5878030830781426e-7,2.709694778289635e-7
108923.41643103023,2.64416477268821e-7,2.5809279691749903e-7,2.708295117318385e-7
111460.56872915158,2.6397291599244853e-7,2.573777899619501e-7,2.7068047134769125e-7
114056.81889616817,2.6350909288770117e-7,2.5663441710608116e-7,2.705217645861429e-7
116713.543498284,2.6302416193256447e-7,2.558618017618208e-7,2.703527660426767e-7
119432.15116604898,2.625172535429229e-7,2.550590633690394e-7,2.7017281628022914e-7
122214.0833412336,2.619874756775173e-7,2.5422531994427914e-7,2.699812213096663e-7
125060.8150411004,2.614339152596355e-7,2.533596909163646e-7,2.6977736417195657e-7
127973.85564047757,2.6085563995339067e-7,2.524610682211577e-7,2.695604101117697e-7
130954.74967204955,2.6025170033327506e-7,2.5152879941986186e-7,2.6932965371038727e-7
134005.0776452887,2.596211324851091e-7,2.5056203804547516e-7,2.690841402955512e-7
137126.45688446227,2.5896296107381726e-7,2.4955994398366616e-7,2.688230051115411e-7
140320.5423861592,2.582762029076626e-7,2.4852169771894343e-7,2.6854535179996383e-7
143589.02769679125,2.575598710182873e-7,2.4744650529351183e-7,2.6825025403022034e-7
146933.6458105336,2.5681297925923665e-7,2.4633360367093035e-7,2.679367573398927e-7
150356.17008818142,2.5603454739998555e-7,2.4518226650530014e-7,2.676038810157102e-7
153858.41519740917,2.552236066542835e-7,2.439126520938033e-7,2.672506197348934e-7
157442.2380749315,2.543792055260368e-7,2.42593678695599e-7,2.669662899448769e-7
161109.5389110755,2.5350041577638877e-7,2.4122969509356506e-7,2.6668970128928636e-7
164862.26215728704,2.5258633820327924e-7,2.398199905555581e-7,2.663987733483752e-7
168702.39755710438,2.516361077676848e-7,2.383639276351073e-7,2.6609306407742963e-7
172631.98120114673,2.5064889738309183e-7,2.3686095154056274e-7,2.657721161709221e-7
176653.09660667632,2.4962391938562065e-7,2.353105994317426e-7,2.654354320666162e-7
180767.87582230693,2.4856042329416517e-7,2.3371250922170856e-7,2.6508243443318126e-7
184978.50055844424,2.4745768791759873e-7,2.320664272718575e-7,2.6471240614908165e-7
189287.20334405755,2.4631500512476026e-7,2.3037221411196698e-7,2.643244016699642e-7
193696.26871039622,2.4513165160750514e-7,2.2862984697248705e-7,2.639171189452001e-7
198208.03440227837,2.4390684367255623e-7,2.2683941745829182e-7,2.634887175720035e-7
202824.89261759407,2.426396684227457e-7,2.2500112208958822e-7,2.6303656460520465e-7
207549.29127568047,2.4132898256390077e-7,2.231152426493821e-7,2.625568844331747e-7
212383.7353152409,2.399732674550303e-7,2.2118211226627223e-7,2.620442837084936e-7
217330.7880224965,2.385704259251791e-7,2.1920206188511715e-7,2.6149111730844776e-7
222393.07239027473,2.37117502966301e-7,2.1717534020492416e-7,2.608866584012371e-7
