Frequency,Nominal,Min,Max
30000,2.942560194598608e-7,2.91518523932289e-7,2.9805032171633253e-7
30698.789768422623,2.94221953866738e-7,2.914728390406019e-7,2.980280072940268e-7
31413.856441526983,2.9418628063793606e-7,2.914250119937626e-7,2.980046278794935e-7
32145.579157128188,2.94148923825985e-7,2.913749428944691e-7,2.9798013203788643e-7
32894.345884295544,2.9410980389062725e-7,2.913225272406226e-7,2.97954465796853e-7
33660.55362905889,2.940688375287827e-7,2.912676557184124e-7,2.979275725169493e-7
34444.608644906475,2.9402593749651724e-7,2.9121021398664304e-7,2.978993927551206e-7
35246.92664818588,2.9398101242265134e-7,2.911500824519935e-7,2.9786986412086243e-7
36067.93303852238,2.939339666136291e-7,2.910871360348844e-7,2.9783892112465247e-7
36908.06312437144,2.938846998492617e-7,2.9102124392563504e-7,2.978064950182259e-7
37767.762353825005,2.938331071689337e-7,2.9095226933057946e-7,2.977725136262411e-7
38647.486550794005,2.937790786478558e-7,2.9088006920781795e-7,2.977369011688562e-7
39547.7021566922,2.9372249916293015e-7,2.9080449399227033e-7,2.976995780747215e-7
40468.88647774959,2.936632481477767e-7,2.907253873097065e-7,2.9766046078385547e-7
41411.527938086525,2.9360119933646504e-7,2.9064258567942357e-7,2.9761946153985877e-7
42376.12633868261,2.93536220495472e-7,2.9055591820525095e-7,2.9757648817088325e-7
43363.19312237781,2.934681731433833e-7,2.9046520625456327e-7,2.9753144385875624e-7
44373.251645046206,2.9339691225784036e-7,2.903702631249976e-7,2.9748422689562555e-7
45406.83745308623,2.933222859692258e-7,2.902708936985748e-7,2.974347304274712e-7
46464.49856737442,2.9324413524057516e-7,2.9016689408294794e-7,2.973828421838003e-7
47546.795773833386,2.9316229353319005e-7,2.900580512395099e-7,2.973284441928156e-7
48654.30292076788,2.930765864574382e-7,2.8994414259812284e-7,2.9727141248132997e-7
49787.6072231268,2.9298683140820664e-7,2.898249356582547e-7,2.9721161675866945e-7
50947.309573852304,2.928928371844941e-7,2.897001875763391e-7,2.9714892008379595e-7
52134.02486248124,2.927944035926306e-7,2.8956964473921645e-7,2.970831785148605e-7
53348.38230116766,2.92691321032619e-7,2.894330423235554e-7,2.970142407403827e-7
54591.025758299475,2.925833700671231e-7,2.892901038412044e-7,2.969419476912549e-7
55862.61409988599,2.9247032097264245e-7,2.8914054067048704e-7,2.968661321327574e-7
57163.821538897384,2.923519332724532e-7,2.8898405157351745e-7,2.967866182357851e-7
58495.337992741326,2.922279552509344e-7,2.8882032219969407e-7,2.967032211264991e-7
59857.869449066355,2.92098123448954e-7,2.8864902457561917e-7,2.9661574641364435e-7
61252.13834008585,2.9196216214005355e-7,2.884698165817928e-7,2.965239896928121e-7
62678.88392562115,2.9181978278724966e-7,2.882823414165434e-7,2.9642773602698097e-7
64138.862685066924,2.9167068348036864e-7,2.8808622704779363e-7,2.963267594027462e-7
65632.84871848654,2.915145483539411e-7,2.878810856533998e-7,2.9622082216173073e-7
67161.63415705014,2.9135104698582274e-7,2.8766651305097644e-7,2.961096744067986e-7
68726.02958303315,2.9117983377686073e-7,2.874420881182995e-7,2.959930533828256e-7
70326.86445959761,2.910005473121149e-7,2.8720737220559103e-7,2.95870682831964e-7
71964.98757058465,2.9081280970435715e-7,2.869619085412275e-7,2.9574227232354383e-7
73641.26747055084,2.9061622592081736e-7,2.8670522163266604e-7,2.9560751655900874e-7
75356.59294528732,2.90410383094437e-7,2.8643681666468465e-7,2.9546609465257605e-7
77111.87348306584,2.901948498212167e-7,2.86156178897348e-7,2.953176693886652e-7
78908.03975686137,2.8996917544561717e-7,2.8586277306647715e-7,2.951618864575363e-7
80746.04411780738,2.8973288933640696e-7,2.855560427897982e-7,2.949983736710516e-7
82626.8611001449,2.8948550015582655e-7,2.852089643725298e-7,2.948267401610065e-7
84551.48793793352,2.892264951254895e-7,2.847432116320244e-7,2.946465755630854e-7
86520.94509379807,2.889553392930544e-7,2.842575809843145e-7,2.945580727904057e-7
88536.27679999146,2.886714748043839e-7,2.837513213443398e-7,2.9449942913791416e-7
90598.55161206037,2.8837432018667847e-7,2.8322366217805534e-7,2.9443664255695294e-7
92708.8629754076,2.8806326964891083e-7,2.8267381385929903e-7,2.943694036181486e-7
94868.32980505125,2.877376924068208e-7,2.821009681322675e-7,2.942973800006145e-7
97078.09707888834,2.873969320407482e-7,2.815042986890772e-7,2.942202149880055e-7
