Frequency,Nominal,Min,Max
30000,-0.4218454869739854,-0.431274907238285,-0.4134007421545448
30698.789768422623,-0.4316856776756065,-0.4413329331562716,-0.4230458942421633
31413.856441526983,-0.4417560907630577,-0.4516261266990768,-0.43291684464878166
32145.579157128188,-0.4520621617722552,-0.46216002941093204,-0.44301893435633316
32894.345884295544,-0.4626094581147959,-0.47294031652823265,-0.45335763462591416
33660.55362905889,-0.4734036825321851,-0.4839728004298937,-0.4639385504579284
34444.608644906475,-0.4844506766586056,-0.4952634341929178,-0.4747674241639617
35246.92664818588,-0.49575642469685455,-0.5068183152575062,-0.4858501390552954
36067.93303852238,-0.507327057212346,-0.518643689206286,-0.4971927232532748
36908.06312437144,-0.5191688550503663,-0.530745953662499,-0.5088013536270432
37767.762353825005,-0.5312882533820807,-0.5431316623122772,-0.5206823598644958
38647.486550794005,-0.5436918458851172,-0.5558075290564426,-0.532842228682668
39547.7021566922,-0.556386389064917,-0.5687804322975947,-0.5452876081841462
40468.88647774959,-0.5693788067234216,-0.5820574193686014,-0.5580253123665154
41411.527938086525,-0.5826761945820785,-0.5956457111090016,-0.5710623257922928
42376.12633868261,-0.5962858250665972,-0.6095527065962268,-0.5844058084272763
43363.19312237781,-0.6102151522613544,-0.6237859880390033,-0.5980631006557505
44373.251645046206,-0.6244718170418775,-0.6383533258407681,-0.6120417284815451
45406.83745308623,-0.6390636523943796,-0.6532626838414558,-0.6263494089245344
46464.49856737442,-0.6539986889319227,-0.6685222247465743,-0.6409940556228066
47546.795773833386,-0.6692851606174379,-0.6841403157530843,-0.6559837846514296
48654.30292076788,-0.6849315107045262,-0.7001255343822723,-0.6713269205694741
49787.6072231268,-0.7009463979077202,-0.7164866745304965,-0.6870320027077734
50947.309573852304,-0.7173387028147209,-0.7332327527494882,-0.7031077917107613
52134.02486248124,-0.7341175345539888,-0.7503730147687038,-0.7195632763466722
53348.38230116766,-0.7512922377320603,-0.7679169422731564,-0.7364076806014104
54591.025758299475,-0.7688723996559839,-0.7858742599511537,-0.7536504710724921
55862.61409988599,-0.7868678578574263,-0.8042549428274419,-0.7713013646806681
57163.821538897384,-0.8052887079362245,-0.823069223898466,-0.7893703367181255
58495.337992741326,-0.8241453117425139,-0.8423276020877363,-0.8078676292535698
59857.869449066355,-0.8434483059180349,-0.8620408505407193,-0.8268037599160436
61252.13834008585,-0.8632086108188146,-0.882220025280247,-0.8461895310809663
62678.88392562115,-0.8834374398431829,-0.9028764742451171,-0.8660360394837241
64138.862685066924,-0.9041463091909987,-0.9240218467364731,-0.8863546862880922
65632.84871848654,-0.9253470480820539,-0.9456681032986074,-0.9071571876389386
67161.63415705014,-0.9470518094639434,-0.9678275260631162,-0.928455585731
68726.02958303315,-0.9692730812422011,-0.9905127295878673,-0.9502622604281068
70326.86445959761,-0.9920236980683048,-1.0137366722250334,-0.9725899414700261
71964.98757058465,-1.0153168537242083,-1.0375126680555324,-0.9954517213072076
73641.26747055084,-1.0391661141454502,-1.061854399430664,-1.0188610686070685
75356.59294528732,-1.0635854311286261,-1.0867759301655537,-1.0428318424792005
77111.87348306584,-1.0885891567731618,-1.1122917194332653,-1.067378307470961
78908.03975686137,-1.1141920587119065,-1.1384166364132269,-1.0925151493894214
80746.04411780738,-1.1404093361901897,-1.1651659757529187,-1.118257492010635
82626.8611001449,-1.1672566370586528,-1.1925554739077588,-1.1446209147426811
84551.48793793352,-1.1947500757515295,-1.220601326430832,-1.1716214713150435
86520.94509379807,-1.2229062523291288,-1.2493202062916657,-1.1992757095736555
88536.27679999146,-1.2517422726712324,-1.27872928331181,-1.2276006924684637
90598.55161206037,-1.281275769917059,-1.3088462448146163,-1.2566140203287437
92708.8629754076,-1.311524927257493,-1.3396893175976001,-1.286333854530781
94868.32980505125,-1.3425085021966376,-1.3712772913482234,-1.3167789426730014
97078.09707888834,-1.3742458524126149,-1.4036295436381483,-1.3479686453853994
99339.33644477719,-1.406756963362108,-1.4367660666472646,-1.3799229649133775
101653.24684176061,-1.4400624777897748,-1.4707074957874373,-1.4126625756310056
104021.05513575934,-1.4741837273225875,-1.5054751404172624,-1.4462088566556623
106444.01677007247,-1.5091427663508736,-1.5410910168638567,-1.4805839267551724
108923.41643103023,-1.5449624084227556,-1.5775778839960997,-1.515810681760442
111460.56872915158,-1.5816662654073657,-1.614959281626787,-1.551912834721528
114056.81889616817,-1.6192787897153886,-1.653259572059412,-1.5889149590737555
116713.543498284,-1.6578253199038842,-1.6925039851398744,-1.6268425351133748
119432.15116604898,-1.6973321300369946,-1.7327186672253951,-1.6657220001203528
122214.0833412336,-1.737826483226188,-1.7739307345437323,-1.7055808025099095
125060.8150411004,-1.7793366898344773,-1.8161683314870078,-1.7464474604457108
127973.85564047757,-1.821892170900366,-1.8594606944681067,-1.7883516254074139
130954.74967204955,-1.865523527420988,-1.9038382220659338,-1.8313241512753589
134005.0776452887,-1.9102626162324494,-1.9493549721571815,-1.8753971695774325
137126.45688446227,-1.956142633341671,-1.9961430777732456,-1.9206041716401185
140320.5423861592,-2.003198205701306,-2.0441312459757617,-1.9669800985002084
143589.02769679125,-2.0514654925815945,-2.093352934677614,-2.0145614395691904
146933.6458105336,-2.100982297884978,-2.1438465170957244,-2.063386341202895
150356.17008818142,-2.151788194976071,-2.195652170506513,-2.1134479135778346
153858.41519740917,-2.2039246658674463,-2.248812021759191,-2.16481027721243
157442.2380749315,-2.257435256916884,-2.303370310674138,-2.2175369776423928
161109.5389110755,-2.3123657535616853,-2.359373574123473,-2.271673962473855
164862.26215728704,-2.368764377047076,-2.4168708540663983,-2.3271673694593846
168702.39755710438,-2.426682006605056,-2.4759139333584237,-2.384117168061801
172631.98120114673,-2.486172431111645,-2.536557603773448,-2.442616081268337
176653.09660667632,-2.547292634894598,-2.598859971368133,-2.5027201212300456
180767.87582230693,-2.6101031230737366,-2.6628828050663182,-2.564488691554426
184978.50055844424,-2.6746682925733527,-2.728691935120158,-2.6279849326500413
189287.20334405755,-2.741056855712912,-2.796357708862375,-2.6932761150848776
193696.26871039622,-2.8093423239906508,-2.865955511811503,-2.760434088068534
