Frequency,Nominal,Min,Max
30000,35515.86139176737,33842.17127742605,37367.151351707565
30698.789768422623,34714.22748589662,33079.11526951773,36522.9111058595
31413.856441526983,33930.99812567744,32333.596565940556,35698.03463840852
32145.579157128188,33165.75793352697,31605.21976387186,34892.08450717991
32894.345884295544,32418.101062987764,30893.59854099607,34104.633299227535
33660.55362905889,31687.630983057592,30198.355450091924,33335.263403811216
34444.608644906475,30973.96026742528,29519.12171828615,32583.566790543962
35246.92664818588,30276.71038849877,28855.537050864492,31849.144792589213
36067.93303852238,29595.511516113806,28207.249439533432,31131.607894791458
36908.06312437144,28930.002320814092,27573.91497502805,30430.575526625715
37767.762353825005,28279.829781595978,26955.197663963616,29745.675859853876
38647.486550794005,27644.648998013097,26350.76924983064,29076.545610778372
39547.7021566922,27024.123006538288,25760.309038034997,28422.829846985776
40468.88647774959,26417.9226010824,25183.503724886814,27784.181798475303
41411.527938086525,25825.726157571607,24620.047230443677,27160.262673069166
42376.12633868261,25247.219462486657,24069.640535115464,26550.741476004245
43363.19312237781,24682.09554526959,23531.991519939987,25955.2948336059
44373.251645046206,24130.05451450522,23006.814810440384,25373.606820947578
45406.83745308623,23590.803397786392,22493.83162397659,24805.368793400983
46464.49856737442,23064.055985173876,21992.769620505307,24250.279221984096
47546.795773833386,22549.53267616345,21503.36275666397,23708.04353241569
48654.30292076788,22046.960330074213,21025.351143096057,23178.373947787033
49787.6072231268,21556.07211977386,20558.48090493634,22660.989334762955
50947.309573852304,21076.607388658158,20102.504045376212,22155.615053226295
52134.02486248124,20608.311510803298,19657.178312230568,21661.98280928117
53348.38230116766,20150.93575421125,19222.26706742896,21179.83051153217
54591.025758299475,19704.23714706964,18797.539159355176,20708.902130558
55862.61409988599,19267.978346948912,18382.768797960423,20248.94756149951
57163.821538897384,18841.927512860962,17977.735432576734,19799.722489683638
58495.337992741326,18425.858180104602,17582.223632358233,19360.988259205817
59857.869449066355,18019.549137824393,17196.022969278994,18932.51174439499
61252.13834008585,17622.784309210678,16818.927903617572,18514.06522408655
62678.88392562115,17235.352634269584,16450.737671858995,18105.4262586296
64138.862685066924,16857.047955093178,16091.256176946501,17706.377569556425
65632.84871848654,16487.66890356069,15740.291880815963,17316.70692184284
67161.63415705014,16127.01879140312,15397.65769914724,16936.207008689544
68726.02958303315,15774.905502564307,15063.170898267601,16564.675338755515
70326.86445959761,15431.141387792806,14736.652994143473,16201.914125775542
71964.98757058465,15095.54316139973,14417.929653397674,15847.7301804951
73641.26747055084,14767.931800118933,14106.830596290543,15501.934804856848
75356.59294528732,14448.132444006746,13803.189501604242,15164.343688373887
77111.87348306584,14135.974299319678,13506.843913370732,14834.776806626094
78908.03975686137,13831.29054330943,13217.635149385054,14513.058321816776
80746.04411780738,13533.918230875634,12935.408211446593,14199.01648532787
82626.8611001449,13243.698203017966,12660.011697272479,13892.483542213058
84551.48793793352,12960.474997030222,12391.297714028298,13593.295637569097
86520.94509379807,12684.096758380305,12129.121793422886,13301.292724726738
88536.27679999146,12414.415154221299,11873.342808315303,13016.318475203841
90598.55161206037,12151.285288479923,11623.822890783702,12738.22019036425
92708.8629754076,11894.565618470428,11380.42735160742,12466.848714727346
94868.32980505125,11644.11787298306,11143.024601115465,12202.058350874348
97078.09707888834,11399.806971798176,10911.486071356383,11943.70677589884
99339.33644477719,11161.500946578504,10685.686139546704,11691.654959350355
101653.24684176061,10929.070863094033,10465.502052757141,11445.767082621365
104021.05513575934,10702.390744735922,10250.813853798325,11205.910459729645
106444.01677007247,10481.337497277882,10041.504308270245,10971.955459449688
108923.41643103023,10265.790834845811,9837.458832742303,10743.775428748697
111460.56872915158,10055.633207058778,9638.565424033888,10521.24661748462
114056.81889616817,9850.749727307195,9444.714589568399,10304.248104325927
116713.543498284,9651.028102136639,9255.799278776945,10092.661723854984
119432.15116604898,9456.358561708863,9071.714815531577,9886.371994819414
122214.0833412336,9266.63379131467,8892.358831591439,9685.266049498472
125060.8150411004,9081.748863916653,8717.631201049226,9489.23356415421
127973.85564047757,8901.601173703426,8547.43397576951,9298.166690540282
130954.74967204955,8726.09037064068,8381.671321814516,9111.9599884444
134005.0776452887,8555.11829600834,8220.24945685759,8930.510359243832
137126.45688446227,8388.588918917283,8063.076588589055,8753.716980456995
140320.5423861592,8226.408273803308,7910.062854123857,8581.481241277867
143589.02769679125,8068.484398900524,7761.120260425107,8413.706679084036
146933.6458105336,7914.72727570089,7616.162625762545,8250.298916913225
150356.17008818142,7765.048769411333,7475.105522229665,8091.165601907548
153858.41519740917,7619.362570424559,7337.866219348047,7936.216344729106
157442.2380749315,7477.584136824494,7204.363628792159,7785.362659955166
161109.5389110755,7339.630637952028,7074.518250272368,7638.517907465746
164862.26215728704,7205.420899061405,6948.25211861824,7495.597234841225
168702.39755710438,7074.875347102241,6825.48875210827,7356.517520792229
172631.98120114673,6947.915957666445,6706.153102095808,7221.197319648804
176653.09660667632,6824.466203143608,6590.171503984311,7089.556806940461
180767.87582230693,6704.451002132151,6477.471629607699,6961.517726103161
184978.50055844424,6587.796670157091,6367.9824410739175,6837.003336353629
